Name,MAC address,Serial number,Local IP,Connectivity
CHARL-AP-02,e4:55:a8:4c:e7:d2,Q3AP-QK6Z-77YR,10.33.99.98,1
CHARL-AP-01,e4:55:a8:4c:e0:42,Q3AP-WJRM-KGUR,10.33.99.97,0
