"Name","MAC address","Serial number","Local IP","Connectivity (UTC-4)"
"CHARL-AP-02","e4:55:a8:4c:e7:d2","Q3AP-QK6Z-77YR","10.33.99.98","1691778164000,4,1691985816000,0,1691986710000,4"
"CHARL-AP-01","e4:55:a8:4c:e0:42","Q3AP-WJRM-KGUR","10.33.99.97","1691778227000,4,1691985813000,0,1691986713000,18,1691986722000,4"
